Documents Compared,Paragraph 1,Paragraph 2,Similarity Score,Summary
contract4.docx & contract3.docx,1. Definitions,1. Definitions and Interpretation,0.6792086534233605,1. 1. Definitions Definitions and Interpretation
contract4.docx & contract3.docx,"“EEA” means the European Economic Area, which constitutes the member states of the European Union and Norway, Iceland, and Liechtenstein.",1.1.5 “EEA” means the European Economic Area;,0.6211314569481573,"“EEA” means the European Economic Area, which constitutes the member states of the European Union and Norway, Iceland, and Liechtenstein. 1.1.5 “EEA” means the European Economic Area;"
contract4.docx & contract3.docx,4. Subprocessing,5. Subprocessing,1.0,4. Subprocessing 5. Subprocessing
contract4.docx & contract3.docx,"5.1 Security. Asana will use appropriate technical and organizational measures to protect Customer Personal Data that it processes. Such measures will take into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing, as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, so as to ensure a level of security appropriate to the risk. Asana will ensure that the persons Asana authorizes to process Customer Personal Data are subject to written confidentiality agreements or a statutory obligation of confidentiality no less protective than the confidentiality obligations set forth in the Agreement.","4.1 Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, Processor shall in relation to the Company Personal Data implement appropriate technical and organizational measures to ensure a level of security appropriate to that risk, including, as appropriate, the measures referred to in Article 32(1) of the GDPR.",0.6535635154078744,"5.1 Security. Such measures will take into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing, as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, so as to ensure a level of security appropriate to the risk. Asana will ensure that the persons Asana authorizes to process Customer Personal Data are subject to written confidentiality agreements or a statutory obligation of confidentiality no less protective than the confidentiality obligations set forth in the Agreement."
contract4.docx & contract3.docx,"Description of the technical and organisational measures implemented by the data importer(s) (including any relevant certifications) to ensure an appropriate level of security, taking into account the nature, scope, context and purpose of the processing, and the risks for the rights and freedoms of natural persons.","4.1 Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, Processor shall in relation to the Company Personal Data implement appropriate technical and organizational measures to ensure a level of security appropriate to that risk, including, as appropriate, the measures referred to in Article 32(1) of the GDPR.",0.5015823182487054,"Description of the technical and organisational measures implemented by the data importer(s) (including any relevant certifications) to ensure an appropriate level of security, taking into account the nature, scope, context and purpose of the processing, and the risks for the rights and freedoms of natural persons. 4.1 Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of Processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, Processor shall in relation to the Company Personal Data implement appropriate technical and organizational measures to ensure a level of security appropriate to that risk, including, as appropriate, the measures referred to in Article 32(1) of the GDPR."
contract4.docx & contract2.pdf,"“Security Incident” means any confirmed breach of security that results in the accidental or unlawful destruction, loss, alteration, unauthorized disclosure of, or access to, Customer Personal Data processed by Asana and/or its subprocessors in connection with the provision of the Service.","(d)	
any breach of the security and/or confidentiality as set out 
in Articles 3 and 4 of this Data Processing Agreement leading 
to the accidental or unlawful destruction, loss, alteration, 
unauthorized disclosure of, or access to, the Personal Data, or 
any indication of such breach having taken place or being about 
to take place;",0.5103278046247832,"“Security Incident” means any confirmed breach of security that results in the accidental or unlawful destruction, loss, alteration, unauthorized disclosure of, or access to, Customer Personal Data processed by Asana and/or its subprocessors in connection with the provision of the Service. (d)	
any breach of the security and/or confidentiality as set out 
in Articles 3 and 4 of this Data Processing Agreement leading 
to the accidental or unlawful destruction, loss, alteration, 
unauthorized disclosure of, or access to, the Personal Data, or 
any indication of such breach having taken place or being about 
to take place;"
contract4.docx & contract2.pdf,"5.1 Security. Asana will use appropriate technical and organizational measures to protect Customer Personal Data that it processes. Such measures will take into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing, as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, so as to ensure a level of security appropriate to the risk. Asana will ensure that the persons Asana authorizes to process Customer Personal Data are subject to written confidentiality agreements or a statutory obligation of confidentiality no less protective than the confidentiality obligations set forth in the Agreement.","4.1.	
Taking into account the state of the art, the costs of implementation 
and the nature, scope, context and purposes of processing as well 
as the risk of varying likelihood and severity for the rights and 
freedoms of natural persons, the Data Controller and Data Processor 
shall implement appropriate technical and organisational measures 
to ensure a level of security of the processing of Personal Data 
appropriate to the risk. These measures shall include, at a minimum, 
the security measures agreed upon by the Parties in Annex 3.",0.6497854111125708,"5.1 Security. Such measures will take into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing, as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, so as to ensure a level of security appropriate to the risk. Taking into account the state of the art, the costs of implementation 
and the nature, scope, context and purposes of processing as well 
as the risk of varying likelihood and severity for the rights and 
freedoms of natural persons, the Data Controller and Data Processor 
shall implement appropriate technical and organisational measures 
to ensure a level of security of the processing of Personal Data 
appropriate to the risk."
contract4.docx & contract2.pdf,"(a) the nature of the Security Incident, including, where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned;","(a)	
a description of the nature of the incident, including where 
possible the categories and approximate number of data 
subjects concerned and the categories and approximate number 
of Personal Data records concerned;",0.9709822162353486,"(a) the nature of the Security Incident, including, where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned; (a)	
a description of the nature of the incident, including where 
possible the categories and approximate number of data 
subjects concerned and the categories and approximate number 
of Personal Data records concerned;"
contract4.docx & contract2.pdf,(b) the likely consequences of the Security Incident; and,"(c)	
a description of the likely consequences of the incident; and",0.8201142739603425,"(c)	
a description of the likely consequences of the incident; and (b) the likely consequences of the Security Incident; and"
contract4.docx & contract2.pdf,"(c) measures taken or proposed to be taken by Asana to address the Security Incident, including, where applicable, measures to mitigate its possible adverse effects.","(d)	
a description of the measures taken or proposed to be taken 
by the Data Processor to address the incident including, where 
appropriate, measures to mitigate its possible adverse effects.",0.9015039676634058,"(c) measures taken or proposed to be taken by Asana to address the Security Incident, including, where applicable, measures to mitigate its possible adverse effects. (d)	
a description of the measures taken or proposed to be taken 
by the Data Processor to address the incident including, where 
appropriate, measures to mitigate its possible adverse effects."
